epoch,average_loss,pit_acc,InstAcc,R_M_ST,R_M_dur,R_M_v,batch_failed,lr
1,7.1972,0.0032,0.0004,9.4605,0.1693,3639.2363,0,0.0001
2,6.1402,0.0000,0.0000,9.5840,0.1743,3836.9230,0,0.0001
3,5.0949,0.0000,0.0000,9.6581,0.1756,3864.3174,0,0.0001
4,3.9838,0.0000,0.0000,9.5892,0.1744,3837.9779,0,0.0001
5,3.0663,0.0000,0.0000,9.6053,0.1746,3842.3619,0,0.0001
6,2.8444,0.0000,0.0000,9.5965,0.1744,3838.0098,0,0.0001
7,2.6141,0.0000,0.0000,9.6100,0.1748,3849.0670,0,0.0001
8,2.6219,0.0000,0.0000,9.6103,0.1746,3842.0892,0,0.0001
9,2.5536,0.0000,0.0000,9.5732,0.1741,3830.8826,0,0.0001
10,2.5076,0.0000,0.0000,9.6101,0.1747,3845.6136,0,0.0001
11,2.4821,0.0000,0.0000,9.5959,0.1745,3840.3155,0,0.0001
12,2.4535,0.0000,0.0000,9.6028,0.1747,3844.2282,0,0.0001
13,2.4165,0.0000,0.0000,9.5849,0.1744,3839.2012,0,0.0001
14,2.3858,0.0000,0.0000,9.6008,0.1742,3834.4959,0,0.0001
15,2.3163,0.0000,0.0000,9.6560,0.1756,3865.7250,0,0.0001
16,2.1724,0.0000,0.0000,9.6221,0.1750,3849.9138,0,0.0001
17,2.0722,0.0000,0.0000,9.6393,0.1751,3854.4564,0,0.0001
18,2.0834,0.0000,0.1612,9.6272,0.1750,3851.0896,0,0.0001
19,1.9771,0.0000,0.3149,9.6408,0.1752,3855.4901,0,0.0001
20,1.9559,0.0000,0.3197,9.6298,0.1752,3857.0230,0,0.0001
21,1.9036,0.0000,0.3229,9.6157,0.1748,3846.6342,0,0.0001
22,1.8505,0.0000,0.3290,9.5992,0.1744,3838.9448,0,0.0001
23,1.7697,0.0006,0.3385,9.6022,0.1746,3843.5082,0,0.0001
24,1.7206,0.1509,0.3521,9.6106,0.1747,3844.8780,0,0.0001
25,2.1973,0.3257,0.4041,9.6388,0.1750,3851.5317,0,0.0001
26,2.1024,0.0041,0.3025,9.6182,0.1747,3844.8069,0,0.0001
27,1.8696,0.3472,0.3575,9.6317,0.1750,3851.5515,0,0.0001
28,1.6951,0.2273,0.3555,9.5904,0.1741,3831.8997,0,0.0001
29,1.6504,0.2609,0.3075,9.5812,0.1741,3833.2789,0,0.0001
30,1.5544,0.2179,0.3620,9.5697,0.1742,3832.9479,0,0.0001
31,1.4823,0.5253,0.3706,9.6535,0.1756,3864.7751,0,0.0001
32,1.4067,0.3916,0.3645,9.6009,0.1744,3838.3124,0,0.0001
33,1.3281,0.4420,0.3677,9.6186,0.1751,3852.3035,0,0.0001
34,1.2671,0.5355,0.3952,9.5940,0.1744,3837.7099,0,0.0001
35,1.2122,0.5122,0.3883,9.6161,0.1749,3849.3905,0,0.0001
36,1.1737,0.5496,0.4128,9.5985,0.1747,3843.1285,0,0.0001
37,1.1557,0.5177,0.4225,9.6215,0.1749,3849.3118,0,0.0001
38,1.1831,0.5185,0.4383,9.6365,0.1752,3855.6465,0,0.0001
39,1.1231,0.5632,0.4359,9.6303,0.1749,3849.5918,0,0.0001
40,1.0855,0.5496,0.4458,9.6290,0.1752,3856.7530,0,0.0001
41,1.0969,0.5624,0.4644,9.6161,0.1749,3849.3598,0,0.0001
42,1.0920,0.5499,0.4624,9.6188,0.1749,3848.2730,0,0.0001
43,1.0961,0.5570,0.4960,9.5936,0.1746,3841.5558,0,0.0001
44,1.0672,0.5642,0.4859,9.5699,0.1740,3828.8095,0,0.0001
45,1.0577,0.5589,0.5189,9.6533,0.1756,3865.7405,0,0.0001
46,1.0314,0.5667,0.5093,9.6692,0.1758,3869.7340,0,0.0001
47,1.0301,0.5725,0.5176,9.6071,0.1747,3843.6224,0,0.0001
48,1.0377,0.5623,0.5262,9.6281,0.1750,3852.2867,0,0.0001
49,1.0261,0.5710,0.5218,9.6266,0.1751,3854.3848,0,0.0001
50,1.0386,0.5662,0.5252,9.6444,0.1755,3862.1992,0,0.0001
51,1.0090,0.5719,0.5260,9.5870,0.1743,3835.6115,0,0.0001
52,1.0129,0.5773,0.5373,9.5849,0.1742,3834.8835,0,0.0001
53,1.0018,0.5731,0.5281,9.5890,0.1742,3835.4487,0,0.0001
54,0.9990,0.5779,0.5463,9.6106,0.1749,3849.7653,0,0.0001
55,0.9921,0.5811,0.5463,9.5994,0.1746,3843.6488,0,0.0001
56,0.9899,0.5773,0.5572,9.6113,0.1746,3842.1246,0,0.0001
57,0.9808,0.5671,0.5606,9.6127,0.1750,3851.5991,0,0.0001
58,0.9834,0.5678,0.5685,9.6005,0.1746,3842.2748,0,0.0001
59,0.9757,0.5676,0.5796,9.5759,0.1740,3830.0839,0,0.0001
60,1.0079,0.5684,0.5848,9.6007,0.1745,3840.8492,0,0.0001
61,1.0810,0.5743,0.5707,9.5951,0.1744,3837.9213,0,0.0001
62,1.0549,0.5419,0.5749,9.6329,0.1752,3857.4495,0,0.0001
63,1.0038,0.5708,0.5758,9.6424,0.1754,3859.6782,0,0.0001
64,0.9988,0.5759,0.5952,9.6470,0.1753,3858.1962,0,0.0001
65,0.9647,0.5861,0.5936,9.6108,0.1749,3849.4550,0,0.0001
66,0.9588,0.5925,0.5979,9.6580,0.1756,3866.4003,0,0.0001
67,0.9540,0.5952,0.6075,9.6565,0.1757,3867.4202,0,0.0001
68,0.9516,0.5964,0.6049,9.5874,0.1743,3835.4752,0,0.0001
69,0.9467,0.5868,0.6122,9.6046,0.1747,3843.5873,0,0.0001
70,0.9410,0.6027,0.6186,9.6263,0.1748,3846.9403,0,0.0001
71,0.9425,0.5986,0.6201,9.6304,0.1752,3855.0200,0,0.0001
72,0.9407,0.5937,0.6114,9.6329,0.1752,3856.4423,0,0.0001
73,0.9364,0.6004,0.6042,9.5822,0.1743,3836.1979,0,0.0001
74,0.9413,0.5965,0.5965,9.6311,0.1753,3857.9332,0,0.0001
75,0.9536,0.6011,0.5938,9.5754,0.1743,3837.0703,0,0.0001
76,0.9804,0.5929,0.5758,9.6131,0.1744,3839.2279,0,0.0001
