epoch,average_loss,pit_acc,InstAcc,R_M_ST,R_M_dur,R_M_v,batch_failed
1,81.7831,0.1397,0.2469,22.3819,0.0892,6743.2548,0
2,28.3352,0.2103,0.3487,19.7533,0.0305,1052.2048,0
3,10.3539,0.2148,0.1520,19.2595,0.0319,7.4902,0
4,9.1380,0.2518,0.2519,13.3412,0.0321,4.6800,0
5,8.5345,0.2557,0.1959,6.4018,0.0320,3.5445,0
6,8.1721,0.2572,0.1695,3.1899,0.0319,3.1672,0
7,8.0502,0.2523,0.1616,2.3395,0.0318,3.0983,0
8,7.9447,0.2554,0.1562,1.9539,0.0317,3.0431,0
9,7.8896,0.2508,0.1405,1.8136,0.0315,2.8963,0
10,7.8277,0.2585,0.1326,1.6592,0.0312,2.8386,0
11,7.7402,0.2608,0.1344,1.6077,0.0312,2.9630,0
12,7.6648,0.2608,0.1367,1.5436,0.0313,2.8186,0
13,7.5947,0.2642,0.1435,1.5286,0.0314,2.8965,0
10,7.7917,0.2592,0.1401,1.5817,0.0312,2.7631,0
11,7.7197,0.2601,0.1380,1.5776,0.0314,2.8836,0
12,7.6839,0.2640,0.1367,1.5215,0.0312,2.8939,0
13,7.6451,0.2627,0.1341,1.5503,0.0312,3.0218,0
14,7.6118,0.2653,0.1391,1.5460,0.0311,2.9333,0
15,7.5563,0.2649,0.1350,1.5557,0.0311,2.9364,0
16,7.5178,0.2701,0.1450,1.5985,0.0311,3.0361,0
17,7.4717,0.2702,0.1468,1.5719,0.0311,3.0144,0
18,7.4266,0.2694,0.1538,1.5942,0.0310,3.0898,0
19,7.3993,0.2708,0.1610,1.6389,0.0311,3.0492,0
20,7.3558,0.2711,0.1661,1.6231,0.0311,3.0600,0
21,7.3161,0.2696,0.1710,1.6435,0.0310,3.1607,0
22,7.2704,0.2733,0.1738,1.6703,0.0312,3.2630,0
23,7.2075,0.2767,0.1739,1.6640,0.0311,3.3338,0
24,7.1490,0.2772,0.1811,1.6833,0.0311,3.3747,0
25,7.0990,0.2797,0.1791,1.7108,0.0312,3.4997,0
26,7.0906,0.2773,0.1781,1.7228,0.0311,3.7554,0
27,6.9730,0.2848,0.1846,1.6681,0.0309,3.3170,0
28,6.9405,0.2863,0.1936,1.7201,0.0311,3.4006,0
29,6.8896,0.2885,0.1882,1.7132,0.0308,3.4274,0
